Date	ASN	ASN_Equity_2	ASN_Imbang_1	ASN_Imbang_2	ASN_Equity_3	ASN_Sara_1	ASB	ASM_2_Wawasan	ASM	ASB_3_Didik	ASM_3	ASB_2	ASN_Sara_2*_	ASN_Equity_5*
12_JUN_2019	0.6688	0.5758	0.9821	0.9243	0.9306	1.1093	1	1	1	1	1	1	1.0249	0.9773
13_JUN_2019	0.669	0.5761	0.9824	0.9245	0.9311	1.1096	1	1	1	1	1	1	1.0246	0.9763
14_JUN_2019	0.6684	0.5753	0.982	0.9255	0.9302	1.1093	1	1	1	1	1	1	1.0256	0.978
17_JUN_2019	0.667	0.574	0.9818	0.9245	0.927	1.1089	1	1	1	1	1	1	1.025	0.9737
18_JUN_2019	0.6656	0.5737	0.9804	0.9236	0.9269	1.1089	1	1	1	1	1	1	1.0248	0.9726
19_JUN_2019	0.6689	0.5762	0.9849	0.9263	0.9313	1.1108	1	1	1	1	1	1	1.0244	0.9716
20_JUN_2019	0.6729	0.5795	0.9895	0.9292	0.9372	1.1137	1	1	1	1	1	1	1.0249	0.9736
21_JUN_2019	0.6775	0.5828	0.993	0.9324	0.9418	1.1163	1	1	1	1	1	1	1.0262	0.9797
24_JUN_2019	0.6799	0.5854	0.9952	0.9356	0.9463	1.118	1	1	1	1	1	1	1.0272	0.9836
25_JUN_2019	0.678	0.5838	0.9936	0.9337	0.9432	1.1171	1	1	1	1	1	1	1.0272	0.9823
26_JUN_2019	0.68	0.5846	0.995	0.9341	0.9444	1.1178	1	1	1	1	1	1	1.0272	0.9836
27_JUN_2019	0.6784	Suspended	0.9933	0.9339	0.9428	1.1172	1	1	1	Suspended	1	1	1.0275	0.9824
28_JUN_2019	0.6791	Suspended	0.9938	0.9342	0.9432	1.1174	1	1	1	Suspended	1	1	1.0275	0.9813
1_JULAI_2019	0.6783	0.5555	0.9934	0.9343	0.943	1.1177	1	1	1	1	1	1	1.0274	0.9807
2_JULAI_2019	0.6832	0.5594	0.998	0.9374	0.9493	1.1206	1	1	1	1	1	1	1.0305	0.9902
3_JULAI_2019	0.6871	0.5622	1.0017	0.9403	0.9537	1.1237	1	1	1	1	1	1	1.0315	0.9936
4_JULAI_2019	0.6869	0.5616	1.0015	0.9404	0.9528	1.1238	1	1	1	1	1	1	1.0312	0.9921
5_JULAI_2019	0.686	0.5615	1.0023	0.9409	0.9521	1.1245	1	1	1	1	1	1	1.0314	0.9911
